col1,binaryttype,name,Lenticular,Elliptical,Spiral,path
135,4,138,0,0,1,Data/abraham_images/138.jpg
136,4,139,0,0,1,Data/abraham_images/139.jpg
137,4,140,0,0,1,Data/abraham_images/140.jpg
138,4,141,0,0,1,Data/abraham_images/141.jpg
139,3,142,0,1,0,Data/abraham_images/142.jpg
140,2,143,1,0,0,Data/abraham_images/143.jpg
141,1,144,1,0,0,Data/abraham_images/144.jpg
142,3,145,0,1,0,Data/abraham_images/145.jpg
143,3,146,0,1,0,Data/abraham_images/146.jpg
144,2,147,1,0,0,Data/abraham_images/147.jpg
145,3,148,0,1,0,Data/abraham_images/148.jpg
146,2,149,1,0,0,Data/abraham_images/149.jpg
147,4,150,0,0,1,Data/abraham_images/150.jpg
148,4,151,0,0,1,Data/abraham_images/151.jpg
149,4,152,0,0,1,Data/abraham_images/152.jpg
150,2,153,1,0,0,Data/abraham_images/153.jpg
151,4,154,0,0,1,Data/abraham_images/154.jpg
152,2,155,1,0,0,Data/abraham_images/155.jpg
153,3,156,0,1,0,Data/abraham_images/156.jpg
154,4,157,0,0,1,Data/abraham_images/157.jpg
155,4,158,0,0,1,Data/abraham_images/158.jpg
156,4,159,0,0,1,Data/abraham_images/159.jpg
157,4,161,0,0,1,Data/abraham_images/161.jpg
158,4,162,0,0,1,Data/abraham_images/162.jpg
159,1,163,1,0,0,Data/abraham_images/163.jpg
160,3,164,0,1,0,Data/abraham_images/164.jpg
161,4,165,0,0,1,Data/abraham_images/165.jpg
162,4,166,0,0,1,Data/abraham_images/166.jpg
163,2,167,1,0,0,Data/abraham_images/167.jpg
164,2,168,1,0,0,Data/abraham_images/168.jpg
165,4,169,0,0,1,Data/abraham_images/169.jpg
166,3,170,0,1,0,Data/abraham_images/170.jpg
167,3,171,0,1,0,Data/abraham_images/171.jpg
168,4,172,0,0,1,Data/abraham_images/172.jpg
169,4,173,0,0,1,Data/abraham_images/173.jpg
170,4,175,0,0,1,Data/abraham_images/175.jpg
171,4,176,0,0,1,Data/abraham_images/176.jpg
172,4,177,0,0,1,Data/abraham_images/177.jpg
173,3,178,0,1,0,Data/abraham_images/178.jpg
174,3,179,0,1,0,Data/abraham_images/179.jpg
175,2,180,1,0,0,Data/abraham_images/180.jpg
176,1,181,1,0,0,Data/abraham_images/181.jpg
177,4,182,0,0,1,Data/abraham_images/182.jpg
178,4,183,0,0,1,Data/abraham_images/183.jpg
179,3,184,0,1,0,Data/abraham_images/184.jpg
180,3,185,0,1,0,Data/abraham_images/185.jpg
181,1,186,1,0,0,Data/abraham_images/186.jpg
182,3,187,0,1,0,Data/abraham_images/187.jpg
183,4,188,0,0,1,Data/abraham_images/188.jpg
184,4,189,0,0,1,Data/abraham_images/189.jpg
185,4,190,0,0,1,Data/abraham_images/190.jpg
186,3,191,0,1,0,Data/abraham_images/191.jpg
187,1,192,1,0,0,Data/abraham_images/192.jpg
188,2,193,1,0,0,Data/abraham_images/193.jpg
189,1,194,1,0,0,Data/abraham_images/194.jpg
190,4,195,0,0,1,Data/abraham_images/195.jpg
191,3,196,0,1,0,Data/abraham_images/196.jpg
192,4,197,0,0,1,Data/abraham_images/197.jpg
193,3,198,0,1,0,Data/abraham_images/198.jpg
194,3,199,0,1,0,Data/abraham_images/199.jpg
195,3,200,0,1,0,Data/abraham_images/200.jpg
196,4,201,0,0,1,Data/abraham_images/201.jpg
197,4,202,0,0,1,Data/abraham_images/202.jpg
198,4,203,0,0,1,Data/abraham_images/203.jpg
199,3,204,0,1,0,Data/abraham_images/204.jpg
200,4,205,0,0,1,Data/abraham_images/205.jpg
201,1,206,1,0,0,Data/abraham_images/206.jpg
202,4,207,0,0,1,Data/abraham_images/207.jpg
203,3,208,0,1,0,Data/abraham_images/208.jpg
204,1,209,1,0,0,Data/abraham_images/209.jpg
205,4,210,0,0,1,Data/abraham_images/210.jpg
206,4,211,0,0,1,Data/abraham_images/211.jpg
207,4,212,0,0,1,Data/abraham_images/212.jpg
208,1,213,1,0,0,Data/abraham_images/213.jpg
209,4,214,0,0,1,Data/abraham_images/214.jpg
210,1,215,1,0,0,Data/abraham_images/215.jpg
211,2,216,1,0,0,Data/abraham_images/216.jpg
212,2,217,1,0,0,Data/abraham_images/217.jpg
213,4,218,0,0,1,Data/abraham_images/218.jpg
214,4,219,0,0,1,Data/abraham_images/219.jpg
215,2,220,1,0,0,Data/abraham_images/220.jpg
216,3,221,0,1,0,Data/abraham_images/221.jpg
217,3,222,0,1,0,Data/abraham_images/222.jpg
218,4,223,0,0,1,Data/abraham_images/223.jpg
219,4,224,0,0,1,Data/abraham_images/224.jpg
220,4,225,0,0,1,Data/abraham_images/225.jpg
221,4,226,0,0,1,Data/abraham_images/226.jpg
222,3,227,0,1,0,Data/abraham_images/227.jpg
223,4,228,0,0,1,Data/abraham_images/228.jpg
224,4,229,0,0,1,Data/abraham_images/229.jpg
225,4,230,0,0,1,Data/abraham_images/230.jpg
226,3,231,0,1,0,Data/abraham_images/231.jpg
227,4,232,0,0,1,Data/abraham_images/232.jpg
228,4,233,0,0,1,Data/abraham_images/233.jpg
229,4,234,0,0,1,Data/abraham_images/234.jpg
230,2,235,1,0,0,Data/abraham_images/235.jpg
231,4,236,0,0,1,Data/abraham_images/236.jpg
232,4,237,0,0,1,Data/abraham_images/237.jpg
233,4,238,0,0,1,Data/abraham_images/238.jpg
234,3,239,0,1,0,Data/abraham_images/239.jpg
235,4,240,0,0,1,Data/abraham_images/240.jpg
236,3,241,0,1,0,Data/abraham_images/241.jpg
237,4,242,0,0,1,Data/abraham_images/242.jpg
238,3,243,0,1,0,Data/abraham_images/243.jpg
239,2,244,1,0,0,Data/abraham_images/244.jpg
240,4,245,0,0,1,Data/abraham_images/245.jpg
241,4,246,0,0,1,Data/abraham_images/246.jpg
242,4,247,0,0,1,Data/abraham_images/247.jpg
243,3,248,0,1,0,Data/abraham_images/248.jpg
244,4,249,0,0,1,Data/abraham_images/249.jpg
245,3,250,0,1,0,Data/abraham_images/250.jpg
246,4,251,0,0,1,Data/abraham_images/251.jpg
247,3,252,0,1,0,Data/abraham_images/252.jpg
248,4,253,0,0,1,Data/abraham_images/253.jpg
249,4,254,0,0,1,Data/abraham_images/254.jpg
250,2,255,1,0,0,Data/abraham_images/255.jpg
251,1,256,1,0,0,Data/abraham_images/256.jpg
252,3,257,0,1,0,Data/abraham_images/257.jpg
253,1,258,1,0,0,Data/abraham_images/258.jpg
254,3,259,0,1,0,Data/abraham_images/259.jpg
255,4,260,0,0,1,Data/abraham_images/260.jpg
256,3,261,0,1,0,Data/abraham_images/261.jpg
257,2,262,1,0,0,Data/abraham_images/262.jpg
258,4,263,0,0,1,Data/abraham_images/263.jpg
259,4,264,0,0,1,Data/abraham_images/264.jpg
260,1,265,1,0,0,Data/abraham_images/265.jpg
261,4,266,0,0,1,Data/abraham_images/266.jpg
262,1,267,1,0,0,Data/abraham_images/267.jpg
263,4,268,0,0,1,Data/abraham_images/268.jpg
264,1,269,1,0,0,Data/abraham_images/269.jpg
265,4,270,0,0,1,Data/abraham_images/270.jpg
266,2,271,1,0,0,Data/abraham_images/271.jpg
267,3,272,0,1,0,Data/abraham_images/272.jpg
268,2,273,1,0,0,Data/abraham_images/273.jpg
269,4,274,0,0,1,Data/abraham_images/274.jpg
270,1,275,1,0,0,Data/abraham_images/275.jpg
271,4,276,0,0,1,Data/abraham_images/276.jpg
272,4,277,0,0,1,Data/abraham_images/277.jpg
273,1,278,1,0,0,Data/abraham_images/278.jpg
274,4,279,0,0,1,Data/abraham_images/279.jpg
275,3,280,0,1,0,Data/abraham_images/280.jpg
276,4,281,0,0,1,Data/abraham_images/281.jpg
277,3,282,0,1,0,Data/abraham_images/282.jpg
278,4,283,0,0,1,Data/abraham_images/283.jpg
279,3,284,0,1,0,Data/abraham_images/284.jpg
280,4,285,0,0,1,Data/abraham_images/285.jpg
281,1,286,1,0,0,Data/abraham_images/286.jpg
282,1,287,1,0,0,Data/abraham_images/287.jpg
283,4,288,0,0,1,Data/abraham_images/288.jpg
284,4,289,0,0,1,Data/abraham_images/289.jpg
285,4,290,0,0,1,Data/abraham_images/290.jpg
286,3,291,0,1,0,Data/abraham_images/291.jpg
287,1,292,1,0,0,Data/abraham_images/292.jpg
288,4,293,0,0,1,Data/abraham_images/293.jpg
289,1,294,1,0,0,Data/abraham_images/294.jpg
290,4,295,0,0,1,Data/abraham_images/295.jpg
291,4,296,0,0,1,Data/abraham_images/296.jpg
292,1,297,1,0,0,Data/abraham_images/297.jpg
293,4,298,0,0,1,Data/abraham_images/298.jpg
294,4,299,0,0,1,Data/abraham_images/299.jpg
295,3,300,0,1,0,Data/abraham_images/300.jpg
296,1,301,1,0,0,Data/abraham_images/301.jpg
297,4,302,0,0,1,Data/abraham_images/302.jpg
298,4,303,0,0,1,Data/abraham_images/303.jpg
299,3,304,0,1,0,Data/abraham_images/304.jpg
300,4,305,0,0,1,Data/abraham_images/305.jpg
301,4,306,0,0,1,Data/abraham_images/306.jpg
302,4,307,0,0,1,Data/abraham_images/307.jpg
303,4,308,0,0,1,Data/abraham_images/308.jpg
304,4,309,0,0,1,Data/abraham_images/309.jpg
305,4,310,0,0,1,Data/abraham_images/310.jpg
306,1,311,1,0,0,Data/abraham_images/311.jpg
307,4,312,0,0,1,Data/abraham_images/312.jpg
308,4,313,0,0,1,Data/abraham_images/313.jpg
309,2,314,1,0,0,Data/abraham_images/314.jpg
310,4,315,0,0,1,Data/abraham_images/315.jpg
311,1,316,1,0,0,Data/abraham_images/316.jpg
312,4,317,0,0,1,Data/abraham_images/317.jpg
313,4,318,0,0,1,Data/abraham_images/318.jpg
314,4,319,0,0,1,Data/abraham_images/319.jpg
315,4,321,0,0,1,Data/abraham_images/321.jpg
316,4,322,0,0,1,Data/abraham_images/322.jpg
317,4,323,0,0,1,Data/abraham_images/323.jpg
318,4,324,0,0,1,Data/abraham_images/324.jpg
319,2,325,1,0,0,Data/abraham_images/325.jpg
320,3,326,0,1,0,Data/abraham_images/326.jpg
321,1,327,1,0,0,Data/abraham_images/327.jpg
322,4,328,0,0,1,Data/abraham_images/328.jpg
323,2,329,1,0,0,Data/abraham_images/329.jpg
324,4,330,0,0,1,Data/abraham_images/330.jpg
325,4,331,0,0,1,Data/abraham_images/331.jpg
326,4,332,0,0,1,Data/abraham_images/332.jpg
327,4,333,0,0,1,Data/abraham_images/333.jpg
328,2,334,1,0,0,Data/abraham_images/334.jpg
329,4,335,0,0,1,Data/abraham_images/335.jpg
330,4,336,0,0,1,Data/abraham_images/336.jpg
331,3,337,0,1,0,Data/abraham_images/337.jpg
332,4,338,0,0,1,Data/abraham_images/338.jpg
333,3,339,0,1,0,Data/abraham_images/339.jpg
334,3,340,0,1,0,Data/abraham_images/340.jpg
335,1,341,1,0,0,Data/abraham_images/341.jpg
336,2,342,1,0,0,Data/abraham_images/342.jpg
337,1,343,1,0,0,Data/abraham_images/343.jpg
338,4,344,0,0,1,Data/abraham_images/344.jpg
339,4,345,0,0,1,Data/abraham_images/345.jpg
340,3,346,0,1,0,Data/abraham_images/346.jpg
341,2,347,1,0,0,Data/abraham_images/347.jpg
342,4,348,0,0,1,Data/abraham_images/348.jpg
343,3,349,0,1,0,Data/abraham_images/349.jpg
344,4,350,0,0,1,Data/abraham_images/350.jpg
345,2,351,1,0,0,Data/abraham_images/351.jpg
346,2,352,1,0,0,Data/abraham_images/352.jpg
347,2,353,1,0,0,Data/abraham_images/353.jpg
348,4,354,0,0,1,Data/abraham_images/354.jpg
349,4,355,0,0,1,Data/abraham_images/355.jpg
350,4,356,0,0,1,Data/abraham_images/356.jpg
351,3,357,0,1,0,Data/abraham_images/357.jpg
352,4,358,0,0,1,Data/abraham_images/358.jpg
353,4,359,0,0,1,Data/abraham_images/359.jpg
354,4,360,0,0,1,Data/abraham_images/360.jpg
355,1,361,1,0,0,Data/abraham_images/361.jpg
356,4,362,0,0,1,Data/abraham_images/362.jpg
357,4,363,0,0,1,Data/abraham_images/363.jpg
358,3,364,0,1,0,Data/abraham_images/364.jpg
359,4,365,0,0,1,Data/abraham_images/365.jpg
360,3,366,0,1,0,Data/abraham_images/366.jpg
361,4,367,0,0,1,Data/abraham_images/367.jpg
362,4,368,0,0,1,Data/abraham_images/368.jpg
363,4,369,0,0,1,Data/abraham_images/369.jpg
364,4,370,0,0,1,Data/abraham_images/370.jpg
365,4,371,0,0,1,Data/abraham_images/371.jpg
366,2,372,1,0,0,Data/abraham_images/372.jpg
367,4,373,0,0,1,Data/abraham_images/373.jpg
368,4,374,0,0,1,Data/abraham_images/374.jpg
369,4,375,0,0,1,Data/abraham_images/375.jpg
370,4,376,0,0,1,Data/abraham_images/376.jpg
371,2,378,1,0,0,Data/abraham_images/378.jpg
372,1,379,1,0,0,Data/abraham_images/379.jpg
373,3,380,0,1,0,Data/abraham_images/380.jpg
374,4,381,0,0,1,Data/abraham_images/381.jpg
375,4,382,0,0,1,Data/abraham_images/382.jpg
376,4,383,0,0,1,Data/abraham_images/383.jpg
377,4,384,0,0,1,Data/abraham_images/384.jpg
378,4,385,0,0,1,Data/abraham_images/385.jpg
379,4,386,0,0,1,Data/abraham_images/386.jpg
380,3,387,0,1,0,Data/abraham_images/387.jpg
381,1,388,1,0,0,Data/abraham_images/388.jpg
382,4,389,0,0,1,Data/abraham_images/389.jpg
383,2,391,1,0,0,Data/abraham_images/391.jpg
384,4,392,0,0,1,Data/abraham_images/392.jpg
385,3,393,0,1,0,Data/abraham_images/393.jpg
386,4,394,0,0,1,Data/abraham_images/394.jpg
387,3,395,0,1,0,Data/abraham_images/395.jpg
388,4,396,0,0,1,Data/abraham_images/396.jpg
389,4,397,0,0,1,Data/abraham_images/397.jpg
390,4,398,0,0,1,Data/abraham_images/398.jpg
391,4,399,0,0,1,Data/abraham_images/399.jpg
392,2,400,1,0,0,Data/abraham_images/400.jpg
393,4,401,0,0,1,Data/abraham_images/401.jpg
394,4,402,0,0,1,Data/abraham_images/402.jpg
395,2,403,1,0,0,Data/abraham_images/403.jpg
396,4,404,0,0,1,Data/abraham_images/404.jpg
397,1,405,1,0,0,Data/abraham_images/405.jpg
398,1,406,1,0,0,Data/abraham_images/406.jpg
399,3,407,0,1,0,Data/abraham_images/407.jpg
400,4,408,0,0,1,Data/abraham_images/408.jpg
401,4,409,0,0,1,Data/abraham_images/409.jpg
402,4,410,0,0,1,Data/abraham_images/410.jpg
403,4,411,0,0,1,Data/abraham_images/411.jpg
404,4,412,0,0,1,Data/abraham_images/412.jpg
405,4,413,0,0,1,Data/abraham_images/413.jpg
406,2,414,1,0,0,Data/abraham_images/414.jpg
407,3,415,0,1,0,Data/abraham_images/415.jpg
408,3,416,0,1,0,Data/abraham_images/416.jpg
409,2,417,1,0,0,Data/abraham_images/417.jpg
410,4,418,0,0,1,Data/abraham_images/418.jpg
411,4,419,0,0,1,Data/abraham_images/419.jpg
412,2,420,1,0,0,Data/abraham_images/420.jpg
413,4,421,0,0,1,Data/abraham_images/421.jpg
414,4,422,0,0,1,Data/abraham_images/422.jpg
415,1,423,1,0,0,Data/abraham_images/423.jpg
416,4,424,0,0,1,Data/abraham_images/424.jpg
417,4,425,0,0,1,Data/abraham_images/425.jpg
418,4,426,0,0,1,Data/abraham_images/426.jpg
419,1,427,1,0,0,Data/abraham_images/427.jpg
420,2,428,1,0,0,Data/abraham_images/428.jpg
421,4,429,0,0,1,Data/abraham_images/429.jpg
422,4,430,0,0,1,Data/abraham_images/430.jpg
423,2,431,1,0,0,Data/abraham_images/431.jpg
424,3,432,0,1,0,Data/abraham_images/432.jpg
425,3,433,0,1,0,Data/abraham_images/433.jpg
426,4,434,0,0,1,Data/abraham_images/434.jpg
427,3,435,0,1,0,Data/abraham_images/435.jpg
428,3,436,0,1,0,Data/abraham_images/436.jpg
429,4,437,0,0,1,Data/abraham_images/437.jpg
430,4,438,0,0,1,Data/abraham_images/438.jpg
431,4,439,0,0,1,Data/abraham_images/439.jpg
432,3,440,0,1,0,Data/abraham_images/440.jpg
433,4,441,0,0,1,Data/abraham_images/441.jpg
434,4,442,0,0,1,Data/abraham_images/442.jpg
435,3,443,0,1,0,Data/abraham_images/443.jpg
436,3,444,0,1,0,Data/abraham_images/444.jpg
437,3,445,0,1,0,Data/abraham_images/445.jpg
438,3,446,0,1,0,Data/abraham_images/446.jpg
439,4,447,0,0,1,Data/abraham_images/447.jpg
440,4,448,0,0,1,Data/abraham_images/448.jpg
441,4,449,0,0,1,Data/abraham_images/449.jpg
442,1,450,1,0,0,Data/abraham_images/450.jpg
443,4,451,0,0,1,Data/abraham_images/451.jpg
444,3,452,0,1,0,Data/abraham_images/452.jpg
445,1,453,1,0,0,Data/abraham_images/453.jpg
446,2,454,1,0,0,Data/abraham_images/454.jpg
447,4,455,0,0,1,Data/abraham_images/455.jpg
448,4,456,0,0,1,Data/abraham_images/456.jpg
449,2,457,1,0,0,Data/abraham_images/457.jpg
450,2,458,1,0,0,Data/abraham_images/458.jpg
451,4,459,0,0,1,Data/abraham_images/459.jpg
452,4,460,0,0,1,Data/abraham_images/460.jpg
453,4,461,0,0,1,Data/abraham_images/461.jpg
454,4,462,0,0,1,Data/abraham_images/462.jpg
455,3,463,0,1,0,Data/abraham_images/463.jpg
456,4,464,0,0,1,Data/abraham_images/464.jpg
457,3,465,0,1,0,Data/abraham_images/465.jpg
458,4,466,0,0,1,Data/abraham_images/466.jpg
459,4,467,0,0,1,Data/abraham_images/467.jpg
460,3,468,0,1,0,Data/abraham_images/468.jpg
461,4,469,0,0,1,Data/abraham_images/469.jpg
462,4,470,0,0,1,Data/abraham_images/470.jpg
463,3,471,0,1,0,Data/abraham_images/471.jpg
464,4,472,0,0,1,Data/abraham_images/472.jpg
465,4,473,0,0,1,Data/abraham_images/473.jpg
466,4,474,0,0,1,Data/abraham_images/474.jpg
467,4,475,0,0,1,Data/abraham_images/475.jpg
468,3,476,0,1,0,Data/abraham_images/476.jpg
469,3,477,0,1,0,Data/abraham_images/477.jpg
470,4,478,0,0,1,Data/abraham_images/478.jpg
471,1,479,1,0,0,Data/abraham_images/479.jpg
472,2,480,1,0,0,Data/abraham_images/480.jpg
473,4,481,0,0,1,Data/abraham_images/481.jpg
474,1,482,1,0,0,Data/abraham_images/482.jpg
475,4,483,0,0,1,Data/abraham_images/483.jpg
476,4,484,0,0,1,Data/abraham_images/484.jpg
477,4,485,0,0,1,Data/abraham_images/485.jpg
478,2,486,1,0,0,Data/abraham_images/486.jpg
479,2,487,1,0,0,Data/abraham_images/487.jpg
480,4,488,0,0,1,Data/abraham_images/488.jpg
481,4,489,0,0,1,Data/abraham_images/489.jpg
482,4,490,0,0,1,Data/abraham_images/490.jpg
483,4,491,0,0,1,Data/abraham_images/491.jpg
484,4,492,0,0,1,Data/abraham_images/492.jpg
485,4,493,0,0,1,Data/abraham_images/493.jpg
486,3,494,0,1,0,Data/abraham_images/494.jpg
487,4,495,0,0,1,Data/abraham_images/495.jpg
488,1,496,1,0,0,Data/abraham_images/496.jpg
489,4,497,0,0,1,Data/abraham_images/497.jpg
490,4,498,0,0,1,Data/abraham_images/498.jpg
491,4,499,0,0,1,Data/abraham_images/499.jpg
492,1,500,1,0,0,Data/abraham_images/500.jpg
493,1,501,1,0,0,Data/abraham_images/501.jpg
494,4,502,0,0,1,Data/abraham_images/502.jpg
495,4,503,0,0,1,Data/abraham_images/503.jpg
496,3,504,0,1,0,Data/abraham_images/504.jpg
497,3,505,0,1,0,Data/abraham_images/505.jpg
498,4,506,0,0,1,Data/abraham_images/506.jpg
499,4,507,0,0,1,Data/abraham_images/507.jpg
500,4,508,0,0,1,Data/abraham_images/508.jpg
501,4,509,0,0,1,Data/abraham_images/509.jpg
502,4,510,0,0,1,Data/abraham_images/510.jpg
503,1,511,1,0,0,Data/abraham_images/511.jpg
504,4,512,0,0,1,Data/abraham_images/512.jpg
505,3,513,0,1,0,Data/abraham_images/513.jpg
506,1,514,1,0,0,Data/abraham_images/514.jpg
507,1,515,1,0,0,Data/abraham_images/515.jpg
508,1,516,1,0,0,Data/abraham_images/516.jpg
509,4,517,0,0,1,Data/abraham_images/517.jpg
510,3,518,0,1,0,Data/abraham_images/518.jpg
511,4,519,0,0,1,Data/abraham_images/519.jpg
512,4,520,0,0,1,Data/abraham_images/520.jpg
513,4,521,0,0,1,Data/abraham_images/521.jpg
514,3,522,0,1,0,Data/abraham_images/522.jpg
515,3,523,0,1,0,Data/abraham_images/523.jpg
