binaryttype,name_2,path,Lenticular,Elliptical,Spiral,Other
4,3781,../Data/Efigi_images/i_mages/3781.0.jpg,0,0,1,0
3,3817,../Data/Efigi_images/i_mages/3817.0.jpg,0,1,0,0
3,3830,../Data/Efigi_images/i_mages/3830.0.jpg,0,1,0,0
1,3833,../Data/Efigi_images/i_mages/3833.0.jpg,1,0,0,0
4,3904,../Data/Efigi_images/i_mages/3904.0.jpg,0,0,1,0
4,3960,../Data/Efigi_images/i_mages/3960.0.jpg,0,0,1,0
3,3976,../Data/Efigi_images/i_mages/3976.0.jpg,0,1,0,0
4,4116,../Data/Efigi_images/i_mages/4116.0.jpg,0,0,1,0
4,4124,../Data/Efigi_images/i_mages/4124.0.jpg,0,0,1,0
1,4363,../Data/Efigi_images/i_mages/4363.0.jpg,1,0,0,0
4,4367,../Data/Efigi_images/i_mages/4367.0.jpg,0,0,1,0
1,4368,../Data/Efigi_images/i_mages/4368.0.jpg,1,0,0,0
1,4376,../Data/Efigi_images/i_mages/4376.0.jpg,1,0,0,0
2,4415,../Data/Efigi_images/i_mages/4415.0.jpg,1,0,0,0
4,4416,../Data/Efigi_images/i_mages/4416.0.jpg,0,0,1,0
4,4484,../Data/Efigi_images/i_mages/4484.0.jpg,0,0,1,0
4,4485,../Data/Efigi_images/i_mages/4485.0.jpg,0,0,1,0
3,4500,../Data/Efigi_images/i_mages/4500.0.jpg,0,1,0,0
4,4540,../Data/Efigi_images/i_mages/4540.0.jpg,0,0,1,0
4,4608,../Data/Efigi_images/i_mages/4608.0.jpg,0,0,1,0
4,4647,../Data/Efigi_images/i_mages/4647.0.jpg,0,0,1,0
4,4663,../Data/Efigi_images/i_mages/4663.0.jpg,0,0,1,0
4,4734,../Data/Efigi_images/i_mages/4734.0.jpg,0,0,1,0
1,4793,../Data/Efigi_images/i_mages/4793.0.jpg,1,0,0,0
4,4805,../Data/Efigi_images/i_mages/4805.0.jpg,0,0,1,0
4,4812,../Data/Efigi_images/i_mages/4812.0.jpg,0,0,1,0
4,4897,../Data/Efigi_images/i_mages/4897.0.jpg,0,0,1,0
1,4899,../Data/Efigi_images/i_mages/4899.0.jpg,1,0,0,0
4,4906,../Data/Efigi_images/i_mages/4906.0.jpg,0,0,1,0
4,4979,../Data/Efigi_images/i_mages/4979.0.jpg,0,0,1,0
4,4992,../Data/Efigi_images/i_mages/4992.0.jpg,0,0,1,0
1,5055,../Data/Efigi_images/i_mages/5055.0.jpg,1,0,0,0
4,5056,../Data/Efigi_images/i_mages/5056.0.jpg,0,0,1,0
4,5078,../Data/Efigi_images/i_mages/5078.0.jpg,0,0,1,0
4,5220,../Data/Efigi_images/i_mages/5220.0.jpg,0,0,1,0
2,5261,../Data/Efigi_images/i_mages/5261.0.jpg,1,0,0,0
4,5270,../Data/Efigi_images/i_mages/5270.0.jpg,0,0,1,0
1,5271,../Data/Efigi_images/i_mages/5271.0.jpg,1,0,0,0
4,5291,../Data/Efigi_images/i_mages/5291.0.jpg,0,0,1,0
4,5298,../Data/Efigi_images/i_mages/5298.0.jpg,0,0,1,0
1,5326,../Data/Efigi_images/i_mages/5326.0.jpg,1,0,0,0
4,5330,../Data/Efigi_images/i_mages/5330.0.jpg,0,0,1,0
4,5366,../Data/Efigi_images/i_mages/5366.0.jpg,0,0,1,0
4,5415,../Data/Efigi_images/i_mages/5415.0.jpg,0,0,1,0
1,5436,../Data/Efigi_images/i_mages/5436.0.jpg,1,0,0,0
1,5449,../Data/Efigi_images/i_mages/5449.0.jpg,1,0,0,0
4,5527,../Data/Efigi_images/i_mages/5527.0.jpg,0,0,1,0
4,5539,../Data/Efigi_images/i_mages/5539.0.jpg,0,0,1,0
1,5540,../Data/Efigi_images/i_mages/5540.0.jpg,1,0,0,0
1,5574,../Data/Efigi_images/i_mages/5574.0.jpg,1,0,0,0
4,5645,../Data/Efigi_images/i_mages/5645.0.jpg,0,0,1,0
4,5673,../Data/Efigi_images/i_mages/5673.0.jpg,0,0,1,0
4,5688,../Data/Efigi_images/i_mages/5688.0.jpg,0,0,1,0
4,5771,../Data/Efigi_images/i_mages/5771.0.jpg,0,0,1,0
4,5776,../Data/Efigi_images/i_mages/5776.0.jpg,0,0,1,0
4,5792,../Data/Efigi_images/i_mages/5792.0.jpg,0,0,1,0
4,5803,../Data/Efigi_images/i_mages/5803.0.jpg,0,0,1,0
4,5830,../Data/Efigi_images/i_mages/5830.0.jpg,0,0,1,0
4,5838,../Data/Efigi_images/i_mages/5838.0.jpg,0,0,1,0
4,5932,../Data/Efigi_images/i_mages/5932.0.jpg,0,0,1,0
4,5939,../Data/Efigi_images/i_mages/5939.0.jpg,0,0,1,0
3,6004,../Data/Efigi_images/i_mages/6004.0.jpg,0,1,0,0
4,6005,../Data/Efigi_images/i_mages/6005.0.jpg,0,0,1,0
1,6090,../Data/Efigi_images/i_mages/6090.0.jpg,1,0,0,0
1,6155,../Data/Efigi_images/i_mages/6155.0.jpg,1,0,0,0
4,6193,../Data/Efigi_images/i_mages/6193.0.jpg,0,0,1,0
4,6292,../Data/Efigi_images/i_mages/6292.0.jpg,0,0,1,0
4,6309,../Data/Efigi_images/i_mages/6309.0.jpg,0,0,1,0
4,6318,../Data/Efigi_images/i_mages/6318.0.jpg,0,0,1,0
4,6364,../Data/Efigi_images/i_mages/6364.0.jpg,0,0,1,0
1,6450,../Data/Efigi_images/i_mages/6450.0.jpg,1,0,0,0
4,6504,../Data/Efigi_images/i_mages/6504.0.jpg,0,0,1,0
4,6505,../Data/Efigi_images/i_mages/6505.0.jpg,0,0,1,0
4,6516,../Data/Efigi_images/i_mages/6516.0.jpg,0,0,1,0
4,6627,../Data/Efigi_images/i_mages/6627.0.jpg,0,0,1,0
4,6628,../Data/Efigi_images/i_mages/6628.0.jpg,0,0,1,0
4,6636,../Data/Efigi_images/i_mages/6636.0.jpg,0,0,1,0
4,6637,../Data/Efigi_images/i_mages/6637.0.jpg,0,0,1,0
1,6657,../Data/Efigi_images/i_mages/6657.0.jpg,1,0,0,0
4,6667,../Data/Efigi_images/i_mages/6667.0.jpg,0,0,1,0
2,6670,../Data/Efigi_images/i_mages/6670.0.jpg,1,0,0,0
4,6671,../Data/Efigi_images/i_mages/6671.0.jpg,0,0,1,0
3,6673,../Data/Efigi_images/i_mages/6673.0.jpg,0,1,0,0
4,6678,../Data/Efigi_images/i_mages/6678.0.jpg,0,0,1,0
4,6826,../Data/Efigi_images/i_mages/6826.0.jpg,0,0,1,0
4,6832,../Data/Efigi_images/i_mages/6832.0.jpg,0,0,1,0
1,6835,../Data/Efigi_images/i_mages/6835.0.jpg,1,0,0,0
4,6855,../Data/Efigi_images/i_mages/6855.0.jpg,0,0,1,0
1,6861,../Data/Efigi_images/i_mages/6861.0.jpg,1,0,0,0
4,6888,../Data/Efigi_images/i_mages/6888.0.jpg,0,0,1,0
4,6982,../Data/Efigi_images/i_mages/6982.0.jpg,0,0,1,0
4,6986,../Data/Efigi_images/i_mages/6986.0.jpg,0,0,1,0
4,7022,../Data/Efigi_images/i_mages/7022.0.jpg,0,0,1,0
4,7042,../Data/Efigi_images/i_mages/7042.0.jpg,0,0,1,0
4,7046,../Data/Efigi_images/i_mages/7046.0.jpg,0,0,1,0
1,7063,../Data/Efigi_images/i_mages/7063.0.jpg,1,0,0,0
3,7064,../Data/Efigi_images/i_mages/7064.0.jpg,0,1,0,0
1,7090,../Data/Efigi_images/i_mages/7090.0.jpg,1,0,0,0
4,7114,../Data/Efigi_images/i_mages/7114.0.jpg,0,0,1,0
1,7118,../Data/Efigi_images/i_mages/7118.0.jpg,1,0,0,0
4,7210,../Data/Efigi_images/i_mages/7210.0.jpg,0,0,1,0
4,7246,../Data/Efigi_images/i_mages/7246.0.jpg,0,0,1,0
4,7262,../Data/Efigi_images/i_mages/7262.0.jpg,0,0,1,0
4,7328,../Data/Efigi_images/i_mages/7328.0.jpg,0,0,1,0
4,7341,../Data/Efigi_images/i_mages/7341.0.jpg,0,0,1,0
4,7366,../Data/Efigi_images/i_mages/7366.0.jpg,0,0,1,0
4,7465,../Data/Efigi_images/i_mages/7465.0.jpg,0,0,1,0
4,7485,../Data/Efigi_images/i_mages/7485.0.jpg,0,0,1,0
4,7533,../Data/Efigi_images/i_mages/7533.0.jpg,0,0,1,0
1,7536,../Data/Efigi_images/i_mages/7536.0.jpg,1,0,0,0
4,7574,../Data/Efigi_images/i_mages/7574.0.jpg,0,0,1,0
4,7632,../Data/Efigi_images/i_mages/7632.0.jpg,0,0,1,0
4,7654,../Data/Efigi_images/i_mages/7654.0.jpg,0,0,1,0
4,7740,../Data/Efigi_images/i_mages/7740.0.jpg,0,0,1,0
4,7741,../Data/Efigi_images/i_mages/7741.0.jpg,0,0,1,0
1,7748,../Data/Efigi_images/i_mages/7748.0.jpg,1,0,0,0
4,7806,../Data/Efigi_images/i_mages/7806.0.jpg,0,0,1,0
4,7835,../Data/Efigi_images/i_mages/7835.0.jpg,0,0,1,0
1,7846,../Data/Efigi_images/i_mages/7846.0.jpg,1,0,0,0
4,7856,../Data/Efigi_images/i_mages/7856.0.jpg,0,0,1,0
1,7889,../Data/Efigi_images/i_mages/7889.0.jpg,1,0,0,0
4,7905,../Data/Efigi_images/i_mages/7905.0.jpg,0,0,1,0
1,7965,../Data/Efigi_images/i_mages/7965.0.jpg,1,0,0,0
4,7966,../Data/Efigi_images/i_mages/7966.0.jpg,0,0,1,0
4,7979,../Data/Efigi_images/i_mages/7979.0.jpg,0,0,1,0
4,7998,../Data/Efigi_images/i_mages/7998.0.jpg,0,0,1,0
4,8014,../Data/Efigi_images/i_mages/8014.0.jpg,0,0,1,0
1,8029,../Data/Efigi_images/i_mages/8029.0.jpg,1,0,0,0
4,8060,../Data/Efigi_images/i_mages/8060.0.jpg,0,0,1,0
4,8165,../Data/Efigi_images/i_mages/8165.0.jpg,0,0,1,0
4,8182,../Data/Efigi_images/i_mages/8182.0.jpg,0,0,1,0
1,8201,../Data/Efigi_images/i_mages/8201.0.jpg,1,0,0,0
4,8225,../Data/Efigi_images/i_mages/8225.0.jpg,0,0,1,0
4,8228,../Data/Efigi_images/i_mages/8228.0.jpg,0,0,1,0
4,8232,../Data/Efigi_images/i_mages/8232.0.jpg,0,0,1,0
1,8250,../Data/Efigi_images/i_mages/8250.0.jpg,1,0,0,0
1,8258,../Data/Efigi_images/i_mages/8258.0.jpg,1,0,0,0
4,8295,../Data/Efigi_images/i_mages/8295.0.jpg,0,0,1,0
4,8302,../Data/Efigi_images/i_mages/8302.0.jpg,0,0,1,0
4,8397,../Data/Efigi_images/i_mages/8397.0.jpg,0,0,1,0
1,8399,../Data/Efigi_images/i_mages/8399.0.jpg,1,0,0,0
4,8406,../Data/Efigi_images/i_mages/8406.0.jpg,0,0,1,0
4,8412,../Data/Efigi_images/i_mages/8412.0.jpg,0,0,1,0
4,8439,../Data/Efigi_images/i_mages/8439.0.jpg,0,0,1,0
2,8464,../Data/Efigi_images/i_mages/8464.0.jpg,1,0,0,0
4,8502,../Data/Efigi_images/i_mages/8502.0.jpg,0,0,1,0
2,8522,../Data/Efigi_images/i_mages/8522.0.jpg,1,0,0,0
4,8526,../Data/Efigi_images/i_mages/8526.0.jpg,0,0,1,0
4,8586,../Data/Efigi_images/i_mages/8586.0.jpg,0,0,1,0
1,8659,../Data/Efigi_images/i_mages/8659.0.jpg,1,0,0,0
3,8718,../Data/Efigi_images/i_mages/8718.0.jpg,0,1,0,0
4,8876,../Data/Efigi_images/i_mages/8876.0.jpg,0,0,1,0
1,8929,../Data/Efigi_images/i_mages/8929.0.jpg,1,0,0,0
1,8979,../Data/Efigi_images/i_mages/8979.0.jpg,1,0,0,0
4,9028,../Data/Efigi_images/i_mages/9028.0.jpg,0,0,1,0
4,9256,../Data/Efigi_images/i_mages/9256.0.jpg,0,0,1,0
4,9283,../Data/Efigi_images/i_mages/9283.0.jpg,0,0,1,0
1,9352,../Data/Efigi_images/i_mages/9352.0.jpg,1,0,0,0
1,9359,../Data/Efigi_images/i_mages/9359.0.jpg,1,0,0,0
4,9376,../Data/Efigi_images/i_mages/9376.0.jpg,0,0,1,0
4,9406,../Data/Efigi_images/i_mages/9406.0.jpg,0,0,1,0
4,9414,../Data/Efigi_images/i_mages/9414.0.jpg,0,0,1,0
4,9445,../Data/Efigi_images/i_mages/9445.0.jpg,0,0,1,0
1,9514,../Data/Efigi_images/i_mages/9514.0.jpg,1,0,0,0
4,9530,../Data/Efigi_images/i_mages/9530.0.jpg,0,0,1,0
4,9549,../Data/Efigi_images/i_mages/9549.0.jpg,0,0,1,0
4,9617,../Data/Efigi_images/i_mages/9617.0.jpg,0,0,1,0
4,9621,../Data/Efigi_images/i_mages/9621.0.jpg,0,0,1,0
1,9642,../Data/Efigi_images/i_mages/9642.0.jpg,1,0,0,0
4,9643,../Data/Efigi_images/i_mages/9643.0.jpg,0,0,1,0
1,9684,../Data/Efigi_images/i_mages/9684.0.jpg,1,0,0,0
4,9711,../Data/Efigi_images/i_mages/9711.0.jpg,0,0,1,0
4,9765,../Data/Efigi_images/i_mages/9765.0.jpg,0,0,1,0
4,9817,../Data/Efigi_images/i_mages/9817.0.jpg,0,0,1,0
4,9822,../Data/Efigi_images/i_mages/9822.0.jpg,0,0,1,0
4,9843,../Data/Efigi_images/i_mages/9843.0.jpg,0,0,1,0
4,9846,../Data/Efigi_images/i_mages/9846.0.jpg,0,0,1,0
4,9869,../Data/Efigi_images/i_mages/9869.0.jpg,0,0,1,0
4,9880,../Data/Efigi_images/i_mages/9880.0.jpg,0,0,1,0
4,9894,../Data/Efigi_images/i_mages/9894.0.jpg,0,0,1,0
2,10060,../Data/Efigi_images/i_mages/10060.0.jpg,1,0,0,0
4,10065,../Data/Efigi_images/i_mages/10065.0.jpg,0,0,1,0
4,10108,../Data/Efigi_images/i_mages/10108.0.jpg,0,0,1,0
4,10117,../Data/Efigi_images/i_mages/10117.0.jpg,0,0,1,0
4,10122,../Data/Efigi_images/i_mages/10122.0.jpg,0,0,1,0
4,10132,../Data/Efigi_images/i_mages/10132.0.jpg,0,0,1,0
4,10137,../Data/Efigi_images/i_mages/10137.0.jpg,0,0,1,0
4,10140,../Data/Efigi_images/i_mages/10140.0.jpg,0,0,1,0
3,10175,../Data/Efigi_images/i_mages/10175.0.jpg,0,1,0,0
4,10208,../Data/Efigi_images/i_mages/10208.0.jpg,0,0,1,0
4,10213,../Data/Efigi_images/i_mages/10213.0.jpg,0,0,1,0
4,10249,../Data/Efigi_images/i_mages/10249.0.jpg,0,0,1,0
4,10285,../Data/Efigi_images/i_mages/10285.0.jpg,0,0,1,0
4,10290,../Data/Efigi_images/i_mages/10290.0.jpg,0,0,1,0
4,10315,../Data/Efigi_images/i_mages/10315.0.jpg,0,0,1,0
4,10381,../Data/Efigi_images/i_mages/10381.0.jpg,0,0,1,0
4,10464,../Data/Efigi_images/i_mages/10464.0.jpg,0,0,1,0
4,10496,../Data/Efigi_images/i_mages/10496.0.jpg,0,0,1,0
4,10507,../Data/Efigi_images/i_mages/10507.0.jpg,0,0,1,0
4,10559,../Data/Efigi_images/i_mages/10559.0.jpg,0,0,1,0
4,10574,../Data/Efigi_images/i_mages/10574.0.jpg,0,0,1,0
4,10634,../Data/Efigi_images/i_mages/10634.0.jpg,0,0,1,0
4,10647,../Data/Efigi_images/i_mages/10647.0.jpg,0,0,1,0
3,10649,../Data/Efigi_images/i_mages/10649.0.jpg,0,1,0,0
1,10651,../Data/Efigi_images/i_mages/10651.0.jpg,1,0,0,0
4,10673,../Data/Efigi_images/i_mages/10673.0.jpg,0,0,1,0
4,10697,../Data/Efigi_images/i_mages/10697.0.jpg,0,0,1,0
4,10726,../Data/Efigi_images/i_mages/10726.0.jpg,0,0,1,0
4,10747,../Data/Efigi_images/i_mages/10747.0.jpg,0,0,1,0
4,10766,../Data/Efigi_images/i_mages/10766.0.jpg,0,0,1,0
4,10794,../Data/Efigi_images/i_mages/10794.0.jpg,0,0,1,0
1,10843,../Data/Efigi_images/i_mages/10843.0.jpg,1,0,0,0
4,10854,../Data/Efigi_images/i_mages/10854.0.jpg,0,0,1,0
4,10857,../Data/Efigi_images/i_mages/10857.0.jpg,0,0,1,0
4,10875,../Data/Efigi_images/i_mages/10875.0.jpg,0,0,1,0
4,11000,../Data/Efigi_images/i_mages/11000.0.jpg,0,0,1,0
3,11007,../Data/Efigi_images/i_mages/11007.0.jpg,0,1,0,0
4,11067,../Data/Efigi_images/i_mages/11067.0.jpg,0,0,1,0
4,11075,../Data/Efigi_images/i_mages/11075.0.jpg,0,0,1,0
4,11112,../Data/Efigi_images/i_mages/11112.0.jpg,0,0,1,0
4,11148,../Data/Efigi_images/i_mages/11148.0.jpg,0,0,1,0
4,11154,../Data/Efigi_images/i_mages/11154.0.jpg,0,0,1,0
3,11170,../Data/Efigi_images/i_mages/11170.0.jpg,0,1,0,0
4,11397,../Data/Efigi_images/i_mages/11397.0.jpg,0,0,1,0
1,11537,../Data/Efigi_images/i_mages/11537.0.jpg,1,0,0,0
4,11573,../Data/Efigi_images/i_mages/11573.0.jpg,0,0,1,0
4,11598,../Data/Efigi_images/i_mages/11598.0.jpg,0,0,1,0
2,11670,../Data/Efigi_images/i_mages/11670.0.jpg,1,0,0,0
4,11751,../Data/Efigi_images/i_mages/11751.0.jpg,0,0,1,0
4,11767,../Data/Efigi_images/i_mages/11767.0.jpg,0,0,1,0
4,11813,../Data/Efigi_images/i_mages/11813.0.jpg,0,0,1,0
4,11912,../Data/Efigi_images/i_mages/11912.0.jpg,0,0,1,0
4,11919,../Data/Efigi_images/i_mages/11919.0.jpg,0,0,1,0
1,11966,../Data/Efigi_images/i_mages/11966.0.jpg,1,0,0,0
4,12017,../Data/Efigi_images/i_mages/12017.0.jpg,0,0,1,0
4,12090,../Data/Efigi_images/i_mages/12090.0.jpg,0,0,1,0
4,12163,../Data/Efigi_images/i_mages/12163.0.jpg,0,0,1,0
4,12220,../Data/Efigi_images/i_mages/12220.0.jpg,0,0,1,0
4,12259,../Data/Efigi_images/i_mages/12259.0.jpg,0,0,1,0
4,12262,../Data/Efigi_images/i_mages/12262.0.jpg,0,0,1,0
4,12466,../Data/Efigi_images/i_mages/12466.0.jpg,0,0,1,0
4,12531,../Data/Efigi_images/i_mages/12531.0.jpg,0,0,1,0
4,12560,../Data/Efigi_images/i_mages/12560.0.jpg,0,0,1,0
4,12620,../Data/Efigi_images/i_mages/12620.0.jpg,0,0,1,0
4,12633,../Data/Efigi_images/i_mages/12633.0.jpg,0,0,1,0
4,12655,../Data/Efigi_images/i_mages/12655.0.jpg,0,0,1,0
4,12733,../Data/Efigi_images/i_mages/12733.0.jpg,0,0,1,0
4,12772,../Data/Efigi_images/i_mages/12772.0.jpg,0,0,1,0
3,12801,../Data/Efigi_images/i_mages/12801.0.jpg,0,1,0,0
4,12803,../Data/Efigi_images/i_mages/12803.0.jpg,0,0,1,0
4,13005,../Data/Efigi_images/i_mages/13005.0.jpg,0,0,1,0
4,13009,../Data/Efigi_images/i_mages/13009.0.jpg,0,0,1,0
4,13117,../Data/Efigi_images/i_mages/13117.0.jpg,0,0,1,0
4,13204,../Data/Efigi_images/i_mages/13204.0.jpg,0,0,1,0
1,13218,../Data/Efigi_images/i_mages/13218.0.jpg,1,0,0,0
4,13308,../Data/Efigi_images/i_mages/13308.0.jpg,0,0,1,0
4,13394,../Data/Efigi_images/i_mages/13394.0.jpg,0,0,1,0
4,13406,../Data/Efigi_images/i_mages/13406.0.jpg,0,0,1,0
4,13407,../Data/Efigi_images/i_mages/13407.0.jpg,0,0,1,0
4,13421,../Data/Efigi_images/i_mages/13421.0.jpg,0,0,1,0
4,13426,../Data/Efigi_images/i_mages/13426.0.jpg,0,0,1,0
4,13535,../Data/Efigi_images/i_mages/13535.0.jpg,0,0,1,0
2,13600,../Data/Efigi_images/i_mages/13600.0.jpg,1,0,0,0
4,13702,../Data/Efigi_images/i_mages/13702.0.jpg,0,0,1,0
4,13879,../Data/Efigi_images/i_mages/13879.0.jpg,0,0,1,0
4,13903,../Data/Efigi_images/i_mages/13903.0.jpg,0,0,1,0
1,14004,../Data/Efigi_images/i_mages/14004.0.jpg,1,0,0,0
4,14100,../Data/Efigi_images/i_mages/14100.0.jpg,0,0,1,0
4,20545,../Data/Efigi_images/i_mages/20545.0.jpg,0,0,1,0
4,20799,../Data/Efigi_images/i_mages/20799.0.jpg,0,0,1,0
4,20886,../Data/Efigi_images/i_mages/20886.0.jpg,0,0,1,0
4,20900,../Data/Efigi_images/i_mages/20900.0.jpg,0,0,1,0
3,21014,../Data/Efigi_images/i_mages/21014.0.jpg,0,1,0,0
4,21073,../Data/Efigi_images/i_mages/21073.0.jpg,0,0,1,0
4,21104,../Data/Efigi_images/i_mages/21104.0.jpg,0,0,1,0
4,21119,../Data/Efigi_images/i_mages/21119.0.jpg,0,0,1,0
4,21120,../Data/Efigi_images/i_mages/21120.0.jpg,0,0,1,0
4,21144,../Data/Efigi_images/i_mages/21144.0.jpg,0,0,1,0
4,21154,../Data/Efigi_images/i_mages/21154.0.jpg,0,0,1,0
4,21168,../Data/Efigi_images/i_mages/21168.0.jpg,0,0,1,0
4,21187,../Data/Efigi_images/i_mages/21187.0.jpg,0,0,1,0
1,21220,../Data/Efigi_images/i_mages/21220.0.jpg,1,0,0,0
4,21244,../Data/Efigi_images/i_mages/21244.0.jpg,0,0,1,0
2,21280,../Data/Efigi_images/i_mages/21280.0.jpg,1,0,0,0
4,21291,../Data/Efigi_images/i_mages/21291.0.jpg,0,0,1,0
4,21321,../Data/Efigi_images/i_mages/21321.0.jpg,0,0,1,0
4,21336,../Data/Efigi_images/i_mages/21336.0.jpg,0,0,1,0
4,21341,../Data/Efigi_images/i_mages/21341.0.jpg,0,0,1,0
4,21372,../Data/Efigi_images/i_mages/21372.0.jpg,0,0,1,0
1,21382,../Data/Efigi_images/i_mages/21382.0.jpg,1,0,0,0
4,21402,../Data/Efigi_images/i_mages/21402.0.jpg,0,0,1,0
2,21414,../Data/Efigi_images/i_mages/21414.0.jpg,1,0,0,0
